Horizontal
i:10, j:1, left:8, right:8
i:10, j:2, left:8, right:8
i:10, j:4, left:8, right:8
i:10, j:7, left:8, right:8
i:10, j:8, left:8, right:8
i:10, j:14, left:8, right:8
i:10, j:15, left:8, right:8
i:10, j:17, left:8, right:8
i:10, j:18, left:8, right:8
i:10, j:19, left:8, right:8
i:10, j:20, left:8, right:8
i:10, j:21, left:8, right:8
i:10, j:24, left:8, right:8
i:10, j:25, left:8, right:8
i:10, j:27, left:8, right:5
i:10, j:30, left:2, right:0
i:10, j:35, left:2, right:0
i:10, j:39, left:8, right:4
i:10, j:48, left:8, right:8
i:10, j:49, left:8, right:8
i:10, j:50, left:8, right:8
i:10, j:51, left:8, right:8
i:10, j:52, left:8, right:8
i:10, j:53, left:8, right:8
i:10, j:54, left:8, right:8
i:10, j:61, left:8, right:8
i:10, j:66, left:8, right:8
i:10, j:68, left:8, right:8
i:10, j:77, left:8, right:8
i:10, j:78, left:8, right:8
i:10, j:79, left:8, right:8
i:10, j:80, left:8, right:8
i:10, j:83, left:8, right:8
i:10, j:84, left:8, right:8
i:10, j:85, left:8, right:8
i:10, j:87, left:8, right:8
i:10, j:89, left:8, right:8
i:10, j:90, left:8, right:8
i:10, j:94, left:8, right:8
i:10, j:98, left:8, right:8
i:10, j:101, left:8, right:8
i:10, j:102, left:8, right:8
i:10, j:110, left:7, right:7
i:10, j:111, left:7, right:7
i:10, j:112, left:7, right:7
i:10, j:116, left:7, right:7
i:10, j:117, left:7, right:7
i:10, j:119, left:7, right:7
i:11, j:0, left:8, right:8
i:11, j:3, left:8, right:8
i:11, j:5, left:8, right:8
i:11, j:6, left:8, right:8
i:11, j:13, left:8, right:8
i:11, j:16, left:8, right:8
i:11, j:22, left:8, right:8
i:11, j:23, left:8, right:8
i:11, j:26, left:7, right:4
i:11, j:28, left:2, right:1
i:11, j:29, left:1, right:1
i:11, j:36, left:1, right:0
i:11, j:40, left:6, right:2
i:11, j:47, left:8, right:8
i:11, j:57, left:8, right:8
