Horizontal
i:12, j:64, left:4, right:4
i:12, j:69, left:4, right:4
i:12, j:70, left:4, right:4
i:12, j:73, left:4, right:4
i:12, j:74, left:4, right:4
i:12, j:75, left:4, right:4
i:12, j:76, left:4, right:4
i:12, j:84, left:4, right:4
i:12, j:87, left:4, right:4
i:12, j:89, left:5, right:5
i:12, j:91, left:6, right:6
i:12, j:100, left:7, right:7
i:12, j:110, left:8, right:8
i:12, j:113, left:8, right:8
i:12, j:119, left:9, right:9
i:13, j:5, left:8, right:8
i:13, j:8, left:8, right:8
i:13, j:12, left:7, right:7
i:13, j:17, left:6, right:7
i:13, j:19, left:7, right:7
i:13, j:20, left:7, right:7
i:13, j:24, left:7, right:7
i:13, j:25, left:7, right:7
i:13, j:26, left:7, right:7
i:13, j:27, left:7, right:7
i:13, j:28, left:7, right:7
i:13, j:29, left:7, right:7
i:13, j:33, left:7, right:7
i:13, j:37, left:7, right:7
i:13, j:38, left:7, right:7
i:13, j:40, left:7, right:7
i:13, j:43, left:6, right:6
i:13, j:44, left:6, right:6
i:13, j:46, left:7, right:7
i:13, j:47, left:7, right:7
i:13, j:51, left:6, right:6
i:13, j:52, left:6, right:6
i:13, j:53, left:6, right:6
i:13, j:67, left:5, right:5
i:13, j:68, left:5, right:5
i:13, j:77, left:4, right:4
i:13, j:78, left:4, right:4
i:13, j:83, left:4, right:4
i:13, j:88, left:5, right:5
i:13, j:90, left:5, right:6
i:13, j:103, left:7, right:7
i:13, j:104, left:7, right:7
i:13, j:105, left:8, right:8
i:13, j:106, left:8, right:8
i:13, j:107, left:8, right:8
i:13, j:108, left:8, right:8
i:13, j:109, left:8, right:8
i:13, j:111, left:8, right:8
i:13, j:112, left:8, right:8
i:13, j:114, left:8, right:8
i:13, j:117, left:9, right:9
i:13, j:118, left:9, right:9
i:14, j:0, left:8, right:8
i:14, j:6, left:8, right:7
i:14, j:7, left:8, right:7
i:14, j:11, left:8, right:8
i:14, j:13, left:7, right:8
i:14, j:14, left:7, right:7
i:14, j:18, left:7, right:7
i:14, j:23, left:7, right:7
i:14, j:30, left:7, right:7
i:14, j:31, left:7, right:7
i:14, j:32, left:7, right:7
i:14, j:34, left:7, right:7
i:14, j:39, left:7, right:7
i:14, j:45, left:6, right:6
i:14, j:48, left:7, right:6
i:14, j:49, left:6, right:6
i:14, j:50, left:6, right:6
i:14, j:54, left:6, right:6
i:14, j:59, left:5, right:5
i:14, j:60, left:5, right:5
i:14, j:69, left:5, right:5
i:14, j:76, left:4, right:4
i:14, j:84, left:4, right:5
i:14, j:87, left:5, right:5
i:14, j:89, left:5, right:6
i:14, j:97, left:7, right:7
i:14, j:98, left:7, right:7
i:14, j:99, left:6, right:7
i:14, j:100, left:7, right:7
i:14, j:110, left:8, right:8
i:14, j:113, left:8, right:8
i:14, j:119, left:9, right:9
i:15, j:1, left:8, right:7
i:15, j:2, left:8, right:7
i:15, j:5, left:7, right:7
i:15, j:10, left:8, right:7
i:15, j:12, left:8, right:8
i:15, j:15, left:7, right:8
i:15, j:16, left:7, right:7
i:15, j:17, left:7, right:7
i:15, j:19, left:7, right:7
i:15, j:20, left:7, right:7
i:15, j:24, left:7, right:7
i:15, j:27, left:7, right:7
i:15, j:28, left:7, right:7
i:15, j:29, left:7, right:7
i:15, j:33, left:7, right:6
i:15, j:35, left:7, right:6
i:15, j:38, left:6, right:6
i:15, j:42, left:6, right:6
i:15, j:53, left:6, right:6
i:15, j:55, left:6, right:6
i:15, j:56, left:5, right:6
i:15, j:57, left:5, right:5
i:15, j:58, left:5, right:5
i:15, j:70, left:5, right:5
i:15, j:75, left:4, right:4
i:15, j:79, left:4, right:4
i:15, j:85, left:5, right:5
i:15, j:86, left:5, right:5
i:15, j:88, left:5, right:5
i:15, j:96, left:7, right:7
i:15, j:101, left:7, right:7
i:15, j:102, left:7, right:7
i:15, j:103, left:7, right:7
i:15, j:104, left:7, right:7
i:15, j:107, left:8, right:8
i:15, j:108, left:8, right:8
i:15, j:109, left:8, right:8
i:15, j:114, left:8, right:8
i:15, j:115, left:8, right:8
i:15, j:116, left:9, right:9
i:15, j:117, left:9, right:9
i:15, j:118, left:9, right:8
i:16, j:0, left:7, right:7
i:16, j:8, left:7, right:6
i:16, j:9, left:7, right:7
i:16, j:11, left:8, right:7
i:16, j:18, left:7, right:8
i:16, j:21, left:6, right:7
i:16, j:22, left:7, right:6
i:16, j:23, left:7, right:6
i:16, j:30, left:7, right:6
i:16, j:31, left:7, right:6
i:16, j:32, left:6, right:6
i:16, j:34, left:6, right:5
i:16, j:36, left:6, right:5
i:16, j:37, left:6, right:5
i:16, j:41, left:6, right:6
i:16, j:47, left:6, right:6
i:16, j:52, left:6, right:6
i:16, j:54, left:7, right:7
i:16, j:61, left:5, right:5
i:16, j:64, left:5, right:5
i:16, j:65, left:5, right:5
i:16, j:71, left:5, right:5
i:16, j:74, left:4, right:4
i:16, j:76, left:4, right:4
i:16, j:77, left:4, right:4
i:16, j:78, left:4, right:4
i:16, j:80, left:4, right:4
i:16, j:81, left:4, right:4
i:16, j:82, left:4, right:4
i:16, j:83, left:4, right:5
i:16, j:84, left:5, right:5
i:16, j:87, left:5, right:5
i:16, j:89, left:6, right:6
i:16, j:90, left:6, right:7
i:16, j:95, left:7, right:7
i:16, j:110, left:8, right:8
i:16, j:111, left:8, right:8
i:16, j:119, left:8, right:8
i:17, j:3, left:7, right:7
i:17, j:4, left:7, right:7
i:17, j:7, left:6, right:6
i:17, j:10, left:7, right:6
i:17, j:12, left:7, right:6
i:17, j:17, left:8, right:8
i:17, j:19, left:7, right:8
i:17, j:20, left:7, right:8
i:17, j:33, left:6, right:6
i:17, j:35, left:6, right:6
i:17, j:38, left:5, right:6
i:17, j:39, left:5, right:6
i:17, j:40, left:5, right:6
i:17, j:46, left:6, right:6
i:17, j:48, left:6, right:6
i:17, j:51, left:6, right:6
i:17, j:53, left:6, right:6
i:17, j:62, left:5, right:5
i:17, j:63, left:5, right:5
i:17, j:66, left:4, right:5
i:17, j:72, left:4, right:5
i:17, j:73, left:4, right:4
i:17, j:75, left:4, right:4
i:17, j:79, left:4, right:5
i:17, j:85, left:5, right:5
i:17, j:86, left:5, right:5
i:17, j:88, left:6, right:6
i:17, j:91, left:7, right:7
i:17, j:92, left:7, right:7
i:17, j:93, left:7, right:7
i:17, j:94, left:7, right:8
i:17, j:96, left:7, right:8
i:17, j:99, left:7, right:8
i:17, j:100, left:7, right:8
i:17, j:103, left:8, right:8
